ID,LABNR,C14AGE,C14STD,C13,MATERIAL,SPECIES,COUNTRY,SITE,PERIOD,CULTURE,PHASE,LOCUS,LATITUDE,LONGITUDE,METHOD,CALAGE,CALSTD,REFERENCE,NOTICE
11321,GifA-91141,11020,180,0,bone,fragments,Israel,Hatoula,Epipalaeolithic,Natufian,nd,Level Natufien,31.82,34.98,14C,10960,150,Valla and Arnold 1994,
11322,GifA-91360,10030,140,0,bone,nd,Israel,Hatoula,Neolithic,PPNA,nd,nd,31.81,34.98,14C,9660,260,--,--
11323,OxA-743,12010,180,0,seed,luPinus,Israel,Hayonim Cave,Epipalaeolithic,Natufian,Early Natufian,"locus 4, H76 4(5)",32.92,35.22,14C,11940,230,"Gowlett and Hedges 1987, Hopf and Bar-Yosef 1987, Valla 1987b, Bar-Yosef 1991, Housley 1994, Schyle 1996",
11324,OxA-1899,10000,100,-26,seed,"Hordeum, wild",Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,locus 2168,32.92,35.22,14C,9580,190,Housley 1994,
11325,OxA-1900,6970,80,-26,seed,"Hordeum, wild",Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,locus 1894,32.92,35.22,14C,5860,90,Housley 1994,
11326,OxA-2569,11220,110,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,locus 1719,32.92,35.22,14C,11120,120,Housley 1994,
11327,OxA-2570,11820,120,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,maison 4,32.92,35.22,14C,11700,120,Housley 1994,
11328,OxA-2571,9640,100,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,"3098, foyer 8",32.92,35.22,14C,9020,170,Housley 1994,
11329,OxA-2572,11460,110,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,locus 3143,32.92,35.22,14C,11350,110,Housley 1994,
11330,OxA-2573,10100,160,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,maison 4,32.92,35.22,14C,9760,300,Housley 1994,
11331,OxA-2975,11790,120,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,locus 3143,32.92,35.22,14C,11670,120,Housley 1994,
11332,OxA-2977,11720,120,0,bone,charred bone,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,maison 4,32.92,35.22,14C,11610,130,Housley 1994,
11333,SMU-231,11920,90,0,charcoal,nd,Israel,Hayonim Terrace,Epipalaeolithic,Natufian,nd,Level/terrace  D,32.92,35.22,14C,11810,130,"Henry 1976, Davis and Valla 1978, Bar-Yosef 1981b, Henry et al. 1981b, Schyle 1996",
11334,BM-2298,8250,70,0,charcoal,nd,Israel,Hemar,Neolithic,PPNB,nd,layer 3a,31.17,35.18,14C,7290,120,"Hedges et al. 1987, Hedges et al. 1990, Kuijt and Bar-Yosef 1994",--
11335,BM-2299,9210,300,0,organic,linen,Israel,Hemar,Neolithic,PPNB,nd,layer 4,31.17,35.18,14C,8470,450,"Hedges et al. 1987, Hedges et al. 1990, Kuijt and Bar-Yosef 1994",--
11336,OxA-1013,660,200,0,organic,"Plain wove.., tissu?",Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,-1290,170,"Housley 1994, 63",--
11337,OxA-1014,8600,120,0,organic  ,cord,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,7700,150,--,--
11338,OxA-1015,8500,220,0,organic  ,cord,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,7570,300,--,--
11339,OxA-1016,8810,120,0,organic,linen,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,7930,200,--,--
11340,OxA-1569,410,60,0,organic  ,textile,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,-1520,80,"Housley 1994, 63",--
11341,OxA-1570,5980,80,0,organic,textile,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,4870,100,"Housley 1994, 63",--
11342,Pta-3625,8850,90,0,organic  ,linen,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,7980,180,--,--
11343,Pta-3650,8270,80,0,charcoal,nd,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,7310,120,--,--
11344,RT-650,8100,100,0,charcoal,nd,Israel,Hemar,Neolithic,PPNB,nd,nd,31.17,35.18,14C,7060,180,"Carmi 1987, 104-105",--
11345,C-919,7420,520,0, nd,nd,Israel,Horvat Beter,nd,nd,nd,nd,0,0,14C,6400,560,Burton & Levy 2001,
11346,W-245,5280,150,0,charcoal,nd,Israel,Horvat Beter,nd,nd,nd,"Straum III, silo 50",0,0,14C,4100,160,Lovell 2001,
11347,RT-1396,8950,100,0,charcoal,nd,Israel,Horvat Galil,Neolithic,PPN,nd,construction 1 (poteau),32.96,35.32,14C,8080,150,"Carmi and Segal 1992, 131",--
11348,RT-1397,9340,70,0,charcoal,nd,Israel,Horvat Galil,Neolithic,PPN,nd,carre G-11d,32.96,35.32,14C,8590,110,"Carmi and Segal 1992, 131",--
11349,Pta-4212,5180,70,0,charcoal,nd,Israel,Horvath Beter,Chalcolithic,Late Chalc,nd,"Beter sub, loc 30, in fill near floor",0,0,14C,3990,110,Lovell 2001,--
11350,Pta-4312,5100,130,0,charcoal,nd,Israel,Horvath Beter,Chalcolithic,Late Chalc,nd,"L.37, in fill near floor",0,0,14C,3900,150,Lovell 2001,--
11351,W-254,5280,150,0,charcoal,nd,Israel,Horvath Beter,Chalcolithic,Late Chalc,nd,Beter III,0,0,14C,4100,160,Garfinkel 1999,--
11352,Hv-2597,7730,115,0,charcoal,nd,Israel,Iraq el-Barud,PN,Neo.,Layer 5,terrace,32.73,34.98,14C,6610,130,"Ronen 1973, 62",Edwards 2004
11353,Hv-3368,9395,130,0,charcoal,nd,Israel,Iraq el-Barud,Epipalaeolithic,final Natufian/ begin PPNA,Layer 5,terrace,32.73,34.98,14C,8740,240,"Ronen 1973, 62",Edwards 2004
11354,KN-1336,9120,85,0,charcoal,nd,Israel,Iraq el-Barud,PN,Neo.,Layer 5,terrace,32.73,34.98,14C,8370,100,--,Edwards 2004
11355,Pta-2827,10960,390,0,bone,nd,Israel,Iraq el-Barud,EP,EP,nd,8a,32.73,34.98,14C,10800,440,--,--
11356,Pta-2999,6460,80,0,charcoal,nd,Israel,Issaron,PN,Neo.,nd,nd,29.9,35.03,14C,5420,70,--,--
11357,Pta-3000,8430,80,0,charcoal,nd,Israel,Issaron,PN,Neo.,nd,nd,29.9,35.03,14C,7470,90,--,--
11358,Pta-3376,8050,80,0,charcoal,nd,Israel,Issaron,PN,Neo.,nd,nd,29.9,35.03,14C,6970,140,--,--
11359,Pta-3377,8180,80,0,charcoal,nd,Israel,Issaron,PN,Neo.,nd,nd,29.9,35.03,14C,7210,110,--,--
11360,Pta-3486,6130,70,0,charcoal,nd,Israel,Issaron,PN,Neo.,nd,Later C,29.9,35.03,14C,5080,100,--,--
11361,RT-1506,5635,70,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,4470,80,--,--
11362,RT-15076,8080,90,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7020,160,--,--
11363,RT-1508,7620,80,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6490,70,--,--
11364,RT-1509,7870,55,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6770,110,--,--
11365,RT-1510,9100,85,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,8350,100,--,--
11366,RT-1511,8120,80,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7110,140,--,--
11367,RT-1512,8650,85,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7720,110,--,--
11368,RT-1513,5170,55,0,nd,nd,Israel,Issaron,Chalcolithic,nd,nd,nd,29.9,35.03,14C,3950,80,--,--
11369,RT-1514,8200,90,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7230,130,--,--
11370,RT-1515,8785,80,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7910,180,--,--
11371,RT-1516,7460,95,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6320,90,--,--
11372,RT-1518,4990,50,0,nd,nd,Israel,Issaron,Chalcolithic,nd,nd,nd,29.9,35.03,14C,3800,90,--,--
11373,RT-1520,7990,55,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6900,110,--,--
11374,RT-1521,8390,95,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7420,110,--,--
11375,RT-1522,8350,75,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7400,100,--,--
11376,RT-1606,6680,85,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,5600,70,--,--
11377,RT-1607,9195,70,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,8430,90,--,--
11378,RT-1608,5690,55,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,4540,70,--,--
11379,RT-1609,8685,70,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7730,110,--,--
11380,RT-1630,5625,70,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,4460,80,--,--
11381,RT-1638,8265,80,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7300,120,--,--
11382,RT-1640,7135,95,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6010,100,--,--
11383,RT-1663,5755,85,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,4600,100,--,--
11384,RT-1664,8330,100,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7350,130,--,--
11385,RT-1665,7600,110,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6450,110,--,--
11386,RT-1691,7100,70,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,5970,70,--,--
11387,RT-1692,6350,90,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,5330,100,--,--
11388,RT-1699,8590,240,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7710,330,--,--
11389,RT-1700,7950,110,0,nd,nd,Israel,Issaron,Neolithic,PN,nd,nd,29.9,35.03,14C,6860,160,--,--
11390,RT-1701,8290,80,0,nd,nd,Israel,Issaron,Neolithic,PPN,nd,nd,29.9,35.03,14C,7330,120,--,--
11391,GX-786,4920,240,0,bone,nd,Israel,Jarba,Chalcolithic,Chalc.,nd,nd,32.76,35.08,14C,3690,280,"Kaplan 1969, 25-26",--
11392,GX-787,5690,140,0,charcoal,nd,Israel,Jarba,Chalcolithic,Chalc.,nd,nd,32.76,35.08,14C,4550,150,Lovell 2001,--
11393,SMU-804,5720,149,0,charcoal,nd,Israel,Jebel Queisa,nd,nd,nd,"Layer B, hearth",0,0,14C,4580,160,Lovell 2001,
11394,BM-105,10250,200,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level IV. iiib,31.86,35.47,14C,10000,380,"Barker and Mackey 1963, Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +; Banadora: phase of succeeding construction of he PPNA defences (Burleigh 1981)"
11395,BM-106,10300,200,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level VI A. x-xi,31.86,35.47,14C,10070,360,"Barker and Mackey 1963, Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: ""Protoneolithic"", Konf. ?; Banadora: phase succeeding stage VI of the PPNA defences, Protoneolithic (Burleigh 1981)"
11396,BM-110,10180,200,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level IX. xxii-xxiii,31.86,35.47,14C,9900,380,"Barker and Mackey 1963, Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. -; Banadora: linest destruction of PPNA defences (Burleigh 1981)"
11397,BM-115,9170,200,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XII.xlviia,31.86,35.47,14C,8390,290,"Burleigh 1981, Burleigh 1983",--
11398,BM-1320,8539,64,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XI. lv,31.86,35.47,14C,7570,40,"Burleigh 1981, Burleigh 1983",--
11399,BM-1321,9226,76,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level VIII A. xvib,31.86,35.47,14C,8450,100,"Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +"
11400,BM-1322,9376,85,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level  IV A iiib,31.86,35.47,14C,8640,120,"Burleigh 1981, Burleigh 1983, Schyle 1996",--
11401,BM-1323,9382,83,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level VI A x-xi,31.86,35.47,14C,8650,110,"Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. ?"
11402,BM-1324,9427,83,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level VI xxvii,31.86,35.47,14C,8770,160,"Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +"
11403,BM-1326,9225,217,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level VIII A. xvib,31.86,35.47,14C,8500,290,"Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +"
11404,BM-1327,9551,63,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level IV A. iiib,31.86,35.47,14C,8960,140,"Burleigh 1981, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +"
11405,BM-1407,11086,90,0,charcoal,nd,Israel,Jericho,Epipalaeolithic,Natufian,Late Natufian,Level I. ii,31.86,35.47,14C,10990,100,"Burleigh 1981, Weinstein 1984, Schyle 1996",
11406,BM-1769,8700,110,-23.3,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XI. lvia,31.86,35.47,14C,7810,170,"Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983","Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11407,BM-1770,8680,70,-25.8,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XI. lxa,31.86,35.47,14C,7730,100,"Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983","Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11408,BM-1771,8660,260,-23.6,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XIII. lxxxa,31.86,35.47,14C,7800,330,"Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983","Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11409,BM-1772,8810,100,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XIII. xiv,31.86,35.47,14C,7940,190,"Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983","Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11410,BM-1773,8730,80,-26.4,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XIV. lxxxvi,31.86,35.47,14C,7800,140,"Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983","Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11411,BM-1774,4380,50,-26.1,charcoal,nd,Israel,Jericho,nd,Proto-Urban,nd,Tomb A94,31.86,35.47,14C,3010,80,"RC 24, 3, 1982, 262-290",nd
11412,BM-1775,4480,50,-26.1,charcoal,nd,Israel,Jericho,nd,Proto-Urban,nd,Tomb A94,31.86,35.47,14C,3190,110,"RC 24, 3, 1982, 262-290",nd
11413,BM-1778,4080,70,-23.6,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,Phase XV1.lxii-lxiii,31.86,35.47,14C,2670,140,"RC 24, 3, 1982, 262-290",nd
11414,BM-1779,4160,80,-25.5,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,Phase XVI.lxii-lxiii,31.86,35.47,14C,2730,110,"RC 24, 3, 1982, 262-290",nd
11415,BM-1780,3890,60,-25.7,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,"Phase XVII.lxviiia,",31.86,35.47,14C,2360,90,"RC 24, 3, 1982, 262-290",nd
11416,BM-1781,4120,40,-25.6,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,Phase XIX.lxxvi-lxxviia,31.86,35.47,14C,2730,100,"RC 24, 3, 1982, 262-290",nd
11417,BM-1782,3560,40,-26.2,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,Phase XX.lxxxa,31.86,35.47,14C,1900,70,"RC 24, 3, 1982, 262-290",nd
11418,BM-1783,3940,80,-26.1,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,"Phase XVIII.lviii,",31.86,35.47,14C,2430,120,"RC 24, 3, 1982, 262-290",nd
11419,BM-1784,3620,40,-25.3,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,Phase XXI.lxviii-XXII.1xix(a),31.86,35.47,14C,1990,60,"RC 24, 3, 1982, 262-290",nd
11420,BM-1787,9280,100,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level VIII A. xv,31.86,35.47,14C,8510,140,"Bar-Yosef 1981b, Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +; Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11421,BM-1787,9280,100,-26,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Phase VIII A.xv,31.86,35.47,14C,8510,140,"RC 24, 3, 1982, 262-290",nd
11422,BM-1789,9200,70,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Level IX. xx-xxia,31.86,35.47,14C,8430,90,"Bar-Yosef 1981b, Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983, Schyle 1996","Schyle 1996: PPNA, Konf. +; Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11423,BM-1789,9200,70,-27.1,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,Phase IX.xx-xxia,31.86,35.47,14C,8430,90,"RC 24, 3, 1982, 262-290",nd
11424,BM-1790,3080,40,-23.9,charcoal,nd,Israel,Jericho,Bronze Age,nd,nd,Phase XII.Ii,31.86,35.47,14C,1340,60,"RC 24, 3, 1982, 262-290",nd
11425,BM-1791,2040,40,-26.3,charcoal,nd,Israel,Jericho,Iron Age,nd,nd,"Phase XLVII-lxxii-lxxiii(l),",31.86,35.47,14C,50,60,"RC 24, 3, 1982, 262-290",nd
11426,BM-1793,8660,130,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Level XIV. xxxvii,31.86,35.47,14C,7790,180,"Burleigh 1981, Burleigh et al. 1982b, Burleigh 1983","Banadora: date affectee d'un coefficient variable d'erreur (probablement rajeunie d'un maximum de 300 ans), à utiliser avec precaution (ann. du laboratoire Sep. 1987)"
11427,BM-1793,8660,130,-25.5,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,Phase XIV.xxxvii,31.86,35.47,14C,7790,180,"RC 24, 3, 1982, 262-290",nd
11428,BM-250,10300,500,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,area D I,31.86,35.46,14C,9950,660,--,--
11429,BM-251,9390,150,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,area D II,31.86,35.46,14C,8740,270,"Barker et al. 1969, 290",--
11430,BM-252,9320,150,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,area D I,31.86,35.46,14C,8610,220,"Barker et al. 1969, 290",--
11431,BM-253,8710,150,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,"area E I, II, V",31.86,35.46,14C,7860,220,"Barker et al. 1969, 291",--
11432,BM-548,4175,48,0,nd,nd,Israel,Jericho,Bronze  Age,EB III,nd,nd,31.86,35.46,14C,2760,90,"BASOR 225, 1977, 1-16",--
11433,BM-549,4204,49,0,nd,nd,Israel,Jericho,Bronze  Age,EB III,nd,nd,31.86,35.46,14C,2780,90,"BASOR 225, 1977, 1-16",--
11434,BM-550,4126,50,0,nd,nd,Israel,Jericho,Bronze  Age,EB III,nd,nd,31.86,35.46,14C,2730,100,"BASOR 225, 1977, 1-16",--
11435,BM-552,4115,39,0,nd,nd,Israel,Jericho,Bronze  Age,EB III,nd,nd,31.86,35.46,14C,2720,100,"BASOR 225, 1977, 1-16",--
11436,BM-553,3922,78,0,nd,nd,Israel,Jericho,Bronze  Age,EB III,nd,nd,31.86,35.46,14C,2400,110,"BASOR 225, 1977, 1-16",--
11437,BONN-747,5110,110,0,charcoal,nd,Israel,Jericho,Chalcolithic,nd,nd,nd,31.86,35.46,14C,3900,130,"Vogel and Waterbolk 1972, 36",--
11438,BONN-747?,4200,70,0,charcoal,nd,Israel,Jericho,Bronze  Age,nd,nd,nd,31.86,35.46,14C,2770,100,"Vogel and Waterbolk 1972, 36",--
11439,GrN-942,8900,70,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,area F I,31.86,35.46,14C,8060,130,"Science 128, 1958, 1555",--
11440,GrN-963,8785,100,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,area F I,31.86,35.46,14C,7910,200,"Science 128, 1958, 1555",--
11441,P-376,11166,107,0,charcoal,"charcoal, ash?",Israel,Jericho,Epipalaeolithic,Natufian,Late Natufian,Level I. ii,31.86,35.47,14C,11050,120,"Stuckenrath 1963, Burleigh 1981, Weinstein 1984, Schyle 1996",
11442,P-377,9582,89,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,"area E I, II, V",31.86,35.46,14C,8980,160,"Stuckenrath 1963, 84",--
11443,P-378,9775,110,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,area F I,31.86,35.46,14C,9170,200,"Stuckenrath 1963, 84",--
11444,P-379,9655,84,0,charcoal,nd,Israel,Jericho,Neolithic,PPNA,nd,area D I,31.86,35.46,14C,9040,160,"Stuckenrath 1963, 84",--
11445,P-380,8610,75,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,area D I,31.86,35.46,14C,7660,80,"Stuckenrath 1963, 84",--
11446,P-381,8658,101,0,charcoal,charcoal/ ash,Israel,Jericho,Neolithic,PPNB,nd,"area E I, II, V",31.86,35.46,14C,7750,140,"Stuckenrath 1963, 84",--
11447,P-382,8956,103,0,charcoal,nd,Israel,Jericho,Neolithic,PPNB,nd,"area E I, II, V",31.86,35.46,14C,8080,160,"Stuckenrath 1963, 84",--
11448,nd,11150,400,0,bone,nd,Israel,Kebara,Epipalaeolithic,Natufian,Natufian ancien,Cave B,32.56,34.93,14C,11060,390,--,--
11449,nd,11150,400,0,bone,nd,Israel,Kebara,Epipalaeolithic,Natufian,Early Natufian,nd,32.57,34.93,14C,11060,390,"Bar-Yosef and Valla 1979, Bar-Yosef 1981b, Schyle 1996",
11450,RT-1751,6495,55,0,nd,nd,Israel,Kfar Samir,nd,nd,nd,nd,0,0,14C,5450,60,Burton and Levy 2001,--
11451,RT-1752,5750,60,0,nd,nd,Israel,Kfar Samir,nd,nd,nd,nd,0,0,14C,4600,80,Burton and Levy 2001,--
11452,RT-1898,5790,55,0,nd,nd,Israel,Kfar Samir,nd,nd,nd,nd,0,0,14C,4640,70,Burton and Levy 2001,--
11453,RT-1929A,5630,55,0,nd,nd,Israel,Kfar Samir,nd,nd,nd,nd,0,0,14C,4460,70,Burton and Levy 2001,--
11454,RT-1930,5870,70,0,nd,nd,Israel,Kfar Samir,nd,nd,nd,nd,0,0,14C,4730,90,Burton and Levy 2001,--
11455,RT-682A,6470,130,0,wood,nd,Israel,Kfar Samir,nd,nd,nd,From construction 5,0,0,14C,5420,120,Lovell 2001,
11456,RT-1947,6580,70,0,nd,nd,Israel,Khashim et-Tarif,Chalcolithic,nd,nd,nd,0,0,14C,5540,60,Burton and Levy 2001,--
11457,Pta-3374,5269,60,0, nd,nd,Israel,Kvish Harif,Chalcolithic,nd,nd,nd,0,0,14C,4110,90,Burton & Levy 2001,
11458,Pta-3371,10530,100,0,charcoal,nd,Israel,Maaleh Ramon East,EP,Harifian,nd,locus L1/30-35,30.56,34.68,14C,10470,170,--,--
11459,Pta-3483,10430,80,0,charcoal,nd,Israel,Maaleh Ramon East,EP,Harifian,nd,locus L1/25-30,30.56,34.68,14C,10370,160,--,--
11460,Pta-3687,10400,100,0,charcoal,nd,Israel,Maaleh Ramon West,EP,Harifian,nd,nd,30.56,34.71,14C,10320,180,--,--
11461,RT-1068N,10000,200,0,charcoal,nd,Israel,Maaleh Ramon West,EP,Harifian,nd,nd,30.56,34.71,14C,9660,330,"Goring-Morris 1991, 212",--
11462,OxA-1928,5310,80,-26,organic,reeds/ rush,Israel,"Makukh, lower Wadi",Chalcolithic,Chalc.,nd,Mak.3,31.833,35.4166,14C,4150,100,"Housley 1994, 65",--
11463,OxA-1929,1900,60,0,wood,palm leave,Israel,"Makukh, lower Wadi",Chalcolithic,Chalc.,nd,Mak.6,31.833,35.4166,14C,-110,80,"Housley 1994, 65",--
11464,GifA-100400,10540,90,0,charcoal,nd,Israel,Mallaha,nd,nd,nd,Schicht Ib2 (FIN),33.0828,35.5736,14C,10500,150,Bocquentin 2007:67,--
11465,GifA-99332,10530,100,0,charcoal,nd,Israel,Mallaha,nd,nd,nd,Schicht Ib2 (FIN),33.0828,35.5736,14C,10470,170,Bocquentin 2007:67,--
11466,Ly-1660,11590,540,0,charcoal,nd,Israel,Mallaha,Epipalaeolithic,Natufian,Early Natufian,sol de l'abri 131,33.13,35.58,14C,11690,670,"Davis and Valla 1978, Bar-Yosef and Valla 1979, Weinstein 1984, Schyle 1996",
11467,Ly-1661,11740,570,0,charcoal,nd,Israel,Mallaha,Epipalaeolithic,Natufian,Early Natufian,sol de l'abri 51,33.13,35.58,14C,11930,760,"Bar-Yosef and Valla 1978, Weinstein 1984, Schyle 1996",
11468,Ly-1662,11310,880,0,charcoal,nd,Israel,Mallaha,Epipalaeolithic,Natufian,Early Natufian,sol de l'abri 51,33.13,35.58,14C,11310,1230,"Bar-Yosef and Valla 1978, Bar-Yosef and Valla 1979, Weinstein 1984",
11469,OxA-543,330,100,0,organic,bread wheat,Israel,Mallaha,Epipalaeolithic,Natufian,nd,nd,33.13,35.58,14C,-1580,110,Housley 1994,
11470,Pta-3648,6310,70,0,bone,Canis lupus,Israel,Megadim,PN,Wadi Rabah,nd,nd,32.71,34.96,14C,5290,80,"Galil and Weinstein-Evron 1985, 44",--
